Estação de origem,Data,tempo de viagem,diff_media_sec,diff_media_min
Catedral Metropolitana,2018-08-05,1148.9928057553957,55.94433961692721,0.93
Catedral Metropolitana,2018-08-12,1202.2368421052631,109.18837596679464,1.82
Catedral Metropolitana,2018-08-19,1022.6420454545455,-70.40642068392299,-1.17
Catedral Metropolitana,2018-08-26,1150.3801652892562,57.3316991507877,0.96
Catedral Metropolitana,2018-09-02,1115.0844444444444,22.03597830597596,0.37
Centro Olímpico,2018-08-05,874.8846153846154,-218.16385075385313,-3.64
Centro Olímpico,2018-08-12,1067.5438066465256,-25.504659491942903,-0.43
Centro Olímpico,2018-08-19,947.3492822966507,-145.69918384181778,-2.43
Centro Olímpico,2018-08-26,1050.9006622516556,-42.14780388681288,-0.7
Centro Olímpico,2018-09-02,834.2543859649123,-258.79408017355615,-4.31
Centro de Convenções,2018-08-05,1161.2764227642276,68.22795662575913,1.14
Centro de Convenções,2018-08-12,1326.9065420560748,233.85807591760636,3.9
Centro de Convenções,2018-08-19,1285.0727272727272,192.02426113425872,3.2
Centro de Convenções,2018-08-26,1294.109589041096,201.0611229026274,3.35
Centro de Convenções,2018-09-02,1157.5,64.45153386153152,1.07
Deck Sul,2018-08-05,1877.697247706422,784.6487815679536,13.08
Deck Sul,2018-08-12,2193.031746031746,1099.9832798932775,18.33
Deck Sul,2018-08-19,1823.8181818181818,730.7697156797133,12.18
Deck Sul,2018-08-26,1780.0392156862745,686.990749547806,11.45
Deck Sul,2018-09-02,1613.1136363636363,520.0651702251678,8.67
Deck Sul Kids,2018-08-05,1554.1904761904761,461.14201005200766,7.69
Deck Sul Kids,2018-08-12,2094.616666666667,1001.5682005281983,16.69
Deck Sul Kids,2018-08-19,1755.55,662.5015338615315,11.04
Deck Sul Kids,2018-08-26,2038.659574468085,945.6111083296166,15.76
Deck Sul Kids,2018-09-02,1417.8461538461538,324.7976877076853,5.41
EQN 104/105,2018-08-05,975.4477611940298,-117.60070494443869,-1.96
EQN 104/105,2018-08-12,1137.8548387096773,44.80637257120884,0.75
EQN 104/105,2018-08-19,1117.6844919786097,24.6360258401412,0.41
EQN 104/105,2018-08-26,1256.5951219512194,163.54665581275094,2.73
EQN 104/105,2018-09-02,1049.3014705882354,-43.74699555023312,-0.73
EQN 408/409,2018-08-05,1241.3684210526317,148.3199549141632,2.47
EQN 408/409,2018-08-12,1014.4020887728459,-78.64637736562258,-1.31
EQN 408/409,2018-08-19,1059.3325892857142,-33.71587685275426,-0.56
EQN 408/409,2018-08-26,1139.5285412262156,46.48007508774708,0.77
EQN 408/409,2018-09-02,873.0963455149501,-219.95212062351834,-3.67
EQN 410/411,2018-08-05,1436.9884615384615,343.939995399993,5.73
EQN 410/411,2018-08-12,1274.5680473372781,181.51958119880965,3.03
EQN 410/411,2018-08-19,1275.8260869565217,182.77762081805326,3.05
EQN 410/411,2018-08-26,1286.048723897912,193.00025775944346,3.22
EQN 410/411,2018-09-02,1053.28762541806,-39.760840720408396,-0.66
EQS 104/304,2018-08-05,1274.1935483870968,181.14508224862834,3.02
