contagem_viagens,contagem_acumulada,rank,freq_acumulada
82,22680,129,48.96267351741111
82,22762,130,49.13969905658341
82,22844,131,49.31672459575571
82,22926,132,49.49375013492801
81,23007,133,49.668616826061616
80,23087,134,49.84132466915654
80,23167,135,50.01403251225146
79,23246,136,50.184581507307705
79,23325,137,50.35513050236394
78,23403,138,50.523520649381496
77,23480,139,50.68975194836035
77,23557,140,50.85598324733922
76,23633,141,51.0200556982794
75,23708,142,51.181969301180885
75,23783,143,51.343882904082385
73,23856,144,51.5014788109065
73,23929,145,51.659074717730626
73,24002,146,51.81667062455474
72,24074,147,51.97210768334018
72,24146,148,52.1275447421256
71,24217,149,52.280822952872356
71,24288,150,52.4341011636191
71,24359,151,52.58737937436584
71,24430,152,52.74065758511258
70,24500,153,52.891776947820645
70,24570,154,53.0428963105287
70,24640,155,53.19401567323676
69,24709,156,53.34297618790613
69,24778,157,53.4919367025755
69,24847,158,53.64089721724488
68,24915,159,53.78769888387557
68,24983,160,53.93450055050625
68,25051,161,54.08130221713694
68,25119,162,54.228103883767616
67,25186,163,54.37274670235962
67,25253,164,54.51738952095162
67,25320,165,54.66203233954362
67,25387,166,54.80667515813562
66,25453,167,54.949159128688926
66,25519,168,55.09164309924225
65,25584,169,55.231968221756865
65,25649,170,55.3722933442715
65,25714,171,55.51261846678612
65,25779,172,55.652943589300754
64,25843,173,55.79110986377669
64,25907,174,55.929276138252625
64,25971,175,56.06744241272856
62,26033,176,56.20129099112714
62,26095,177,56.33513956952571
62,26157,178,56.46898814792427
62,26219,179,56.602836726322835
62,26281,180,56.736685304721405
62,26343,181,56.87053388311997
61,26404,182,57.00222361347985
60,26464,183,57.13175449580105
60,26524,184,57.26128537812223
59,26583,185,57.38865741240474
59,26642,186,57.51602944668724
59,26701,187,57.64340148096976
59,26760,188,57.77077351525226
58,26818,189,57.895986701496085
58,26876,190,58.021199887739904
58,26934,191,58.14641307398373
57,26991,192,58.26946741218886
57,27048,193,58.39252175039399
56,27104,194,58.513417240560436
56,27160,195,58.63431273072689
56,27216,196,58.75520822089333
56,27272,197,58.87610371105978
55,27327,198,58.99484035318754
55,27382,199,59.1135769953153
55,27437,200,59.232313637443056
55,27492,201,59.35105027957081
55,27547,202,59.469786921698585
55,27602,203,59.58852356382634
54,27656,204,59.70510135791541
54,27710,205,59.82167915200449
54,27764,206,59.93825694609356
54,27818,207,60.05483474018264
54,27872,208,60.17141253427172
53,27925,209,60.2858314803221
53,27978,210,60.400250426372494
53,28031,211,60.51466937242288
53,28084,212,60.629088318473265
53,28137,213,60.74350726452366
52,28189,214,60.85576736253535
52,28241,215,60.96802746054705
52,28293,216,61.08028755855875
51,28344,217,61.19038880853177
51,28395,218,61.300490058504785
50,28445,219,61.40843246043911
50,28495,220,61.51637486237343
49,28544,221,61.62215841626908
49,28593,222,61.72794197016472
49,28642,223,61.833725524060355
49,28691,224,61.939509077956004
49,28740,225,62.045292631851645
49,28789,226,62.151076185747286
49,28838,227,62.25685973964292
49,28887,228,62.36264329353857
49,28936,229,62.46842684743421
49,28985,230,62.57421040132986
48,29033,231,62.67783510718681
48,29081,232,62.78145981304376
48,29129,233,62.88508451890071
48,29177,234,62.98870922475766
48,29225,235,63.09233393061462
47,29272,236,63.19379978843289
47,29319,237,63.29526564625117
46,29365,238,63.394572656030746
46,29411,239,63.493879665810326
46,29457,240,63.593186675589905
46,29503,241,63.69249368536949
46,29549,242,63.79180069514907
45,29594,243,63.88894885688996
45,29639,244,63.98609701863086
45,29684,245,64.08324518037175
45,29729,246,64.18039334211265
45,29774,247,64.27754150385354
44,29818,248,64.37253081755576
44,29862,249,64.46752013125796
44,29906,250,64.56250944496017
44,29950,251,64.65749875866238
44,29994,252,64.75248807236459
44,30038,253,64.8474773860668
43,30081,254,64.94030785173031
43,30124,255,65.03313831739383
43,30167,256,65.12596878305736
43,30210,257,65.21879924872088
43,30253,258,65.3116297143844
43,30296,259,65.40446018004793
43,30339,260,65.49729064571144
43,30382,261,65.59012111137497
42,30424,262,65.6807927289998
41,30465,263,65.76930549858595
41,30506,264,65.85781826817211
41,30547,265,65.94633103775826
41,30588,266,66.0348438073444
41,30629,267,66.12335657693055
41,30670,268,66.21186934651669
41,30711,269,66.30038211610285
41,30752,270,66.388894885689
41,30793,271,66.47740765527514
41,30834,272,66.56592042486129
41,30875,273,66.65443319444744
40,30915,274,66.7407871159949
40,30955,275,66.82714103754238
40,30995,276,66.91349495908983
40,31035,277,66.99984888063729
40,31075,278,67.08620280218476
39,31114,279,67.17039787569354
39,31153,280,67.2545929492023
39,31192,281,67.33878802271109
39,31231,282,67.42298309621985
39,31270,283,67.50717816972863
39,31309,284,67.59137324323741
39,31348,285,67.67556831674618
38,31386,286,67.75760454221627
38,31424,287,67.83964076768636
38,31462,288,67.92167699315645
38,31500,289,68.00371321862654
38,31538,290,68.08574944409663
38,31576,291,68.16778566956671
38,31614,292,68.24982189503682
38,31652,293,68.3318581205069
37,31689,294,68.4117354979383
37,31726,295,68.4916128753697
37,31763,296,68.5714902528011
37,31800,297,68.65136763023251
37,31837,298,68.73124500766392
37,31874,299,68.81112238509532
37,31911,300,68.89099976252672
37,31948,301,68.97087713995812
37,31985,302,69.05075451738952
37,32022,303,69.13063189482092
37,32059,304,69.21050927225232
37,32096,305,69.29038664968374
36,32132,306,69.36810517907645
36,32168,307,69.44582370846916
36,32204,308,69.52354223786188
36,32240,309,69.60126076725459
36,32276,310,69.67897929664731
36,32312,311,69.75669782604002
36,32348,312,69.83441635543274
36,32384,313,69.91213488482546
36,32420,314,69.98985341421817
36,32456,315,70.06757194361089
36,32492,316,70.14529047300361
35,32527,317,70.22085015435763
35,32562,318,70.29640983571166
35,32597,319,70.3719695170657
35,32632,320,70.44752919841972
35,32667,321,70.52308887977375
35,32702,322,70.59864856112779
35,32737,323,70.67420824248181
35,32772,324,70.74976792383583
35,32807,325,70.82532760518987
35,32842,326,70.9008872865439
35,32877,327,70.97644696789793
35,32912,328,71.05200664925196
35,32947,329,71.12756633060599
34,32981,330,71.20096716392133
34,33015,331,71.27436799723668
34,33049,332,71.34776883055201
34,33083,333,71.42116966386736
34,33117,334,71.4945704971827
34,33151,335,71.56797133049805
34,33185,336,71.64137216381339
34,33219,337,71.71477299712873
34,33253,338,71.78817383044408
33,33286,339,71.85941581572072
33,33319,340,71.9306578009974
33,33352,341,72.00189978627405
33,33385,342,72.0731417715507
33,33418,343,72.14438375682735
33,33451,344,72.21562574210402
33,33484,345,72.28686772738067
33,33517,346,72.35810971265732
32,33549,347,72.42719284989529
32,33581,348,72.49627598713326
32,33613,349,72.56535912437123
32,33645,350,72.6344422616092
32,33677,351,72.70352539884718
32,33709,352,72.77260853608514
32,33741,353,72.84169167332311
32,33773,354,72.91077481056108
32,33805,355,72.97985794779905
32,33837,356,73.04894108503703
32,33869,357,73.118024222275
32,33901,358,73.18710735951296
32,33933,359,73.25619049675095
31,33964,360,73.32311478595021
31,33995,361,73.3900390751495
31,34026,362,73.45696336434878
31,34057,363,73.52388765354807
31,34088,364,73.59081194274735
31,34119,365,73.65773623194663
31,34150,366,73.7246605211459
31,34181,367,73.7915848103452
31,34212,368,73.85850909954448
31,34243,369,73.92543338874377
30,34273,370,73.99019882990436
30,34303,371,74.05496427106496
30,34333,372,74.11972971222556
30,34363,373,74.18449515338615
30,34393,374,74.24926059454675
30,34423,375,74.31402603570734
29,34452,376,74.37663262882926
29,34481,377,74.43923922195117
29,34510,378,74.50184581507308
29,34539,379,74.564452408195
29,34568,380,74.6270590013169
28,34596,381,74.68750674640012
28,34624,382,74.74795449148334
28,34652,383,74.80840223656658
28,34680,384,74.86884998164979
28,34708,385,74.92929772673301
28,34736,386,74.98974547181624
28,34764,387,75.05019321689946
28,34792,388,75.11064096198268
28,34820,389,75.17108870706592
28,34848,390,75.23153645214913
28,34876,391,75.29198419723235
27,34903,392,75.3502730942769
27,34930,393,75.40856199132143
27,34957,394,75.46685088836597
27,34984,395,75.5251397854105
27,35011,396,75.58342868245505
27,35038,397,75.64171757949958
27,35065,398,75.70000647654412
27,35092,399,75.75829537358865
27,35119,400,75.81658427063319
27,35146,401,75.87487316767772
26,35172,402,75.93100321668358
26,35198,403,75.98713326568944
26,35224,404,76.04326331469528
26,35250,405,76.09939336370113
26,35276,406,76.15552341270698
26,35302,407,76.21165346171283
26,35328,408,76.26778351071867
26,35354,409,76.32391355972453
26,35380,410,76.38004360873039
26,35406,411,76.43617365773623
25,35431,412,76.49014485870339
25,35456,413,76.54411605967056
25,35481,414,76.59808726063773
25,35506,415,76.6520584616049
25,35531,416,76.70602966257205
25,35556,417,76.76000086353922
25,35581,418,76.81397206450637
25,35606,419,76.86794326547354
25,35631,420,76.92191446644071
25,35656,421,76.97588566740788
25,35681,422,77.02985686837503
25,35706,423,77.0838280693422
24,35730,424,77.13564042227068
24,35754,425,77.18745277519915
24,35778,426,77.23926512812763
24,35802,427,77.2910774810561
24,35826,428,77.34288983398459
24,35850,429,77.39470218691307
24,35874,430,77.44651453984154
24,35898,431,77.49832689277002
24,35922,432,77.55013924569849
24,35946,433,77.60195159862697
24,35970,434,77.65376395155545
24,35994,435,77.70557630448393
24,36018,436,77.7573886574124
24,36042,437,77.80920101034087
24,36066,438,77.86101336326936
24,36090,439,77.91282571619784
24,36114,440,77.96463806912631
24,36138,441,78.01645042205479
23,36161,442,78.06610392694459
23,36184,443,78.11575743183438
23,36207,444,78.16541093672417
23,36230,445,78.21506444161396
23,36253,446,78.26471794650375
23,36276,447,78.31437145139354
23,36299,448,78.36402495628333
23,36322,449,78.41367846117312
23,36345,450,78.46333196606291
23,36368,451,78.5129854709527
23,36391,452,78.56263897584249
23,36414,453,78.61229248073228
22,36436,454,78.65978713758338
22,36458,455,78.7072817944345
22,36480,456,78.7547764512856
22,36502,457,78.80227110813671
22,36524,458,78.8497657649878
22,36546,459,78.89726042183891
22,36568,460,78.94475507869001
22,36590,461,78.99224973554112
22,36612,462,79.03974439239222
22,36634,463,79.08723904924332
22,36656,464,79.13473370609442
22,36678,465,79.18222836294552
22,36700,466,79.22972301979664
22,36722,467,79.27721767664774
22,36744,468,79.32471233349885
22,36766,469,79.37220699034995
22,36788,470,79.41970164720105
22,36810,471,79.46719630405215
22,36832,472,79.51469096090327
22,36854,473,79.56218561775437
21,36875,474,79.60752142656679
21,36896,475,79.6528572353792
21,36917,476,79.69819304419163
21,36938,477,79.74352885300404
21,36959,478,79.78886466181645
21,36980,479,79.83420047062887
21,37001,480,79.87953627944128
21,37022,481,79.92487208825371
21,37043,482,79.97020789706613
21,37064,483,80.01554370587854
21,37085,484,80.06087951469097
21,37106,485,80.10621532350338
21,37127,486,80.1515511323158
21,37148,487,80.19688694112821
21,37169,488,80.24222274994062
21,37190,489,80.28755855875305
21,37211,490,80.33289436756547
21,37232,491,80.37823017637788
21,37253,492,80.42356598519031
20,37273,493,80.46674294596403
20,37293,494,80.50991990673776
20,37313,495,80.5530968675115
20,37333,496,80.59627382828522
20,37353,497,80.63945078905896
20,37373,498,80.68262774983269
20,37393,499,80.72580471060643
20,37413,500,80.76898167138015
20,37433,501,80.81215863215388
20,37453,502,80.85533559292762
20,37473,503,80.89851255370134
20,37493,504,80.94168951447507
20,37513,505,80.98486647524881
20,37533,506,81.02804343602253
20,37553,507,81.07122039679628
20,37573,508,81.11439735757
19,37592,509,81.15541547030504
19,37611,510,81.19643358304009
19,37630,511,81.23745169577514
19,37649,512,81.27846980851018
19,37668,513,81.31948792124523
19,37687,514,81.36050603398027
19,37706,515,81.4015241467153
19,37725,516,81.44254225945036
19,37744,517,81.48356037218541
19,37763,518,81.52457848492045
19,37782,519,81.56559659765549
19,37801,520,81.60661471039053
19,37820,521,81.64763282312558
19,37839,522,81.68865093586064
19,37858,523,81.72966904859567
19,37877,524,81.77068716133071
19,37896,525,81.81170527406576
19,37915,526,81.8527233868008
19,37934,527,81.89374149953585
19,37953,528,81.9347596122709
19,37972,529,81.97577772500594
19,37991,530,82.01679583774099
19,38010,531,82.05781395047602
19,38029,532,82.09883206321106
19,38048,533,82.13985017594612
19,38067,534,82.18086828868117
18,38085,535,82.21972755337752
18,38103,536,82.25858681807388
18,38121,537,82.29744608277024
18,38139,538,82.33630534746659
18,38157,539,82.37516461216295
18,38175,540,82.4140238768593
18,38193,541,82.45288314155566
18,38211,542,82.49174240625202
18,38229,543,82.53060167094837
18,38247,544,82.56946093564474
18,38265,545,82.6083202003411
18,38283,546,82.64717946503745
18,38301,547,82.68603872973381
18,38319,548,82.72489799443017
18,38337,549,82.76375725912652
18,38355,550,82.80261652382289
18,38373,551,82.84147578851925
18,38391,552,82.8803350532156
18,38409,553,82.91919431791196
18,38427,554,82.95805358260831
18,38445,555,82.99691284730469
17,38462,556,83.03361326396235
17,38479,557,83.07031368062002
17,38496,558,83.10701409727768
17,38513,559,83.14371451393536
17,38530,560,83.18041493059305
17,38547,561,83.2171153472507
17,38564,562,83.25381576390838
17,38581,563,83.29051618056606
17,38598,564,83.32721659722372
17,38615,565,83.36391701388139
17,38632,566,83.40061743053906
17,38649,567,83.43731784719674
17,38666,568,83.4740182638544
17,38683,569,83.51071868051207
17,38700,570,83.54741909716975
17,38717,571,83.58411951382743
17,38734,572,83.62081993048508
17,38751,573,83.65752034714276
17,38768,574,83.69422076380043
17,38785,575,83.73092118045811
17,38802,576,83.76762159711578
17,38819,577,83.80432201377344
17,38836,578,83.84102243043112
17,38853,579,83.8777228470888
17,38870,580,83.91442326374646
16,38886,581,83.94896483236545
16,38902,582,83.98350640098442
16,38918,583,84.01804796960342
16,38934,584,84.0525895382224
16,38950,585,84.08713110684138
16,38966,586,84.12167267546037
16,38982,587,84.15621424407937
16,38998,588,84.19075581269834
16,39014,589,84.22529738131733
16,39030,590,84.25983894993632
16,39046,591,84.2943805185553
16,39062,592,84.32892208717429
16,39078,593,84.36346365579327
16,39094,594,84.39800522441226
16,39110,595,84.43254679303124
16,39126,596,84.46708836165023
16,39142,597,84.5016299302692
16,39158,598,84.5361714988882
16,39174,599,84.57071306750717
16,39190,600,84.60525463612616
16,39206,601,84.63979620474514
16,39222,602,84.67433777336413
16,39238,603,84.70887934198312
16,39254,604,84.74342091060211
16,39270,605,84.77796247922109
16,39286,606,84.81250404784008
16,39302,607,84.84704561645906
16,39318,608,84.88158718507805
16,39334,609,84.91612875369702
16,39350,610,84.95067032231601
16,39366,611,84.98521189093499
16,39382,612,85.01975345955398
15,39397,613,85.05213618013428
15,39412,614,85.08451890071458
15,39427,615,85.11690162129489
15,39442,616,85.14928434187517
15,39457,617,85.18166706245547
15,39472,618,85.21404978303578
15,39487,619,85.24643250361606
15,39502,620,85.27881522419636
15,39517,621,85.31119794477667
15,39532,622,85.34358066535697
15,39547,623,85.37596338593725
15,39562,624,85.40834610651757
15,39577,625,85.44072882709786
15,39592,626,85.47311154767816
15,39607,627,85.50549426825846
15,39622,628,85.53787698883876
15,39637,629,85.57025970941905
15,39652,630,85.60264242999935
15,39667,631,85.63502515057965
15,39682,632,85.66740787115995
15,39697,633,85.69979059174024
15,39712,634,85.73217331232055
15,39727,635,85.76455603290084
15,39742,636,85.79693875348114
14,39756,637,85.82716262602275
14,39770,638,85.85738649856437
14,39784,639,85.88761037110598
14,39798,640,85.91783424364759
14,39812,641,85.9480581161892
14,39826,642,85.97828198873081
14,39840,643,86.00850586127243
14,39854,644,86.03872973381404
14,39868,645,86.06895360635565
14,39882,646,86.09917747889726
14,39896,647,86.12940135143887
14,39910,648,86.15962522398048
14,39924,649,86.1898490965221
14,39938,650,86.22007296906371
14,39952,651,86.25029684160532
14,39966,652,86.28052071414693
14,39980,653,86.31074458668854
14,39994,654,86.34096845923015
14,40008,655,86.37119233177177
14,40022,656,86.40141620431338
14,40036,657,86.43164007685499
14,40050,658,86.4618639493966
14,40064,659,86.49208782193821
14,40078,660,86.52231169447982
14,40092,661,86.55253556702144
14,40106,662,86.58275943956305
14,40120,663,86.61298331210466
14,40134,664,86.64320718464627
14,40148,665,86.67343105718788
14,40162,666,86.7036549297295
14,40176,667,86.73387880227111
14,40190,668,86.76410267481272
13,40203,669,86.79216769931564
13,40216,670,86.82023272381856
13,40229,671,86.84829774832149
13,40242,672,86.87636277282442
13,40255,673,86.90442779732734
13,40268,674,86.93249282183028
13,40281,675,86.9605578463332
13,40294,676,86.98862287083612
13,40307,677,87.01668789533905
13,40320,678,87.04475291984197
13,40333,679,87.07281794434489
13,40346,680,87.10088296884783
13,40359,681,87.12894799335075
13,40372,682,87.15701301785367
13,40385,683,87.1850780423566
13,40398,684,87.21314306685952
13,40411,685,87.24120809136245
13,40424,686,87.26927311586537
13,40437,687,87.2973381403683
13,40450,688,87.32540316487123
13,40463,689,87.35346818937415
13,40476,690,87.38153321387708
13,40489,691,87.40959823838
13,40502,692,87.43766326288292
13,40515,693,87.46572828738584
13,40528,694,87.49379331188878
13,40541,695,87.5218583363917
13,40554,696,87.54992336089462
13,40567,697,87.57798838539756
13,40580,698,87.60605340990047
13,40593,699,87.6341184344034
13,40606,700,87.66218345890633
13,40619,701,87.69024848340925
13,40632,702,87.71831350791219
13,40645,703,87.74637853241511
13,40658,704,87.77444355691803
12,40670,705,87.80034973338226
12,40682,706,87.82625590984651
12,40694,707,87.85216208631074
12,40706,708,87.87806826277499
12,40718,709,87.90397443923922
12,40730,710,87.92988061570345
12,40742,711,87.9557867921677
12,40754,712,87.98169296863195
12,40766,713,88.00759914509617
12,40778,714,88.03350532156041
12,40790,715,88.05941149802466
12,40802,716,88.08531767448889
12,40814,717,88.11122385095314
12,40826,718,88.13713002741737
12,40838,719,88.1630362038816
12,40850,720,88.18894238034585
12,40862,721,88.21484855681008
12,40874,722,88.24075473327433
12,40886,723,88.26666090973856
12,40898,724,88.2925670862028
12,40910,725,88.31847326266704
12,40922,726,88.34437943913129
12,40934,727,88.37028561559552
12,40946,728,88.39619179205975
12,40958,729,88.422097968524
12,40970,730,88.44800414498823
12,40982,731,88.47391032145248
12,40994,732,88.49981649791671
12,41006,733,88.52572267438094
12,41018,734,88.55162885084519
12,41030,735,88.57753502730942
12,41042,736,88.60344120377367
12,41054,737,88.62934738023792
12,41066,738,88.65525355670214
12,41078,739,88.68115973316638
12,41090,740,88.70706590963063
12,41102,741,88.73297208609486
11,41113,742,88.75671941452042
11,41124,743,88.78046674294596
11,41135,744,88.80421407137152
11,41146,745,88.82796139979708
11,41157,746,88.85170872822262
11,41168,747,88.87545605664818
11,41179,748,88.89920338507372
11,41190,749,88.92295071349928
11,41201,750,88.94669804192483
11,41212,751,88.97044537035038
11,41223,752,88.99419269877593
11,41234,753,89.01794002720148
11,41245,754,89.04168735562705
11,41256,755,89.06543468405259
11,41267,756,89.08918201247815
11,41278,757,89.11292934090369
11,41289,758,89.13667666932925
11,41300,759,89.1604239977548
11,41311,760,89.18417132618035
11,41322,761,89.2079186546059
11,41333,762,89.23166598303145
11,41344,763,89.255413311457
11,41355,764,89.27916063988256
11,41366,765,89.3029079683081
11,41377,766,89.32665529673366
11,41388,767,89.35040262515922
11,41399,768,89.37414995358478
11,41410,769,89.39789728201032
11,41421,770,89.42164461043586
11,41432,771,89.44539193886142
11,41443,772,89.46913926728698
11,41454,773,89.49288659571253
11,41465,774,89.51663392413808
11,41476,775,89.54038125256363
11,41487,776,89.56412858098919
11,41498,777,89.58787590941473
11,41509,778,89.61162323784029
11,41520,779,89.63537056626583
11,41531,780,89.65911789469139
11,41542,781,89.68286522311695
11,41553,782,89.70661255154249
11,41564,783,89.73035987996805
11,41575,784,89.75410720839359
11,41586,785,89.77785453681916
11,41597,786,89.8016018652447
11,41608,787,89.82534919367026
11,41619,788,89.8490965220958
11,41630,789,89.87284385052136
11,41641,790,89.89659117894692
11,41652,791,89.92033850737246
10,41662,792,89.94192698775933
10,41672,793,89.9635154681462
10,41682,794,89.98510394853307
10,41692,795,90.00669242891993
10,41702,796,90.02828090930679
10,41712,797,90.04986938969365
10,41722,798,90.07145787008054
10,41732,799,90.09304635046739
10,41742,800,90.11463483085426
10,41752,801,90.13622331124112
10,41762,802,90.15781179162798
10,41772,803,90.17940027201486
10,41782,804,90.20098875240173
10,41792,805,90.22257723278858
10,41802,806,90.24416571317545
10,41812,807,90.26575419356232
10,41822,808,90.28734267394918
10,41832,809,90.30893115433605
10,41842,810,90.33051963472292
10,41852,811,90.35210811510977
10,41862,812,90.37369659549664
10,41872,813,90.3952850758835
10,41882,814,90.41687355627037
10,41892,815,90.43846203665724
10,41902,816,90.46005051704411
10,41912,817,90.48163899743096
10,41922,818,90.50322747781784
10,41932,819,90.52481595820471
10,41942,820,90.54640443859157
10,41952,821,90.56799291897843
10,41962,822,90.58958139936529
10,41972,823,90.61116987975217
10,41982,824,90.63275836013904
10,41992,825,90.65434684052589
10,42002,826,90.67593532091276
10,42012,827,90.69752380129962
10,42022,828,90.71911228168649
10,42032,829,90.74070076207336
10,42042,830,90.76228924246023
10,42052,831,90.78387772284708
10,42062,832,90.80546620323395
10,42072,833,90.82705468362082
10,42082,834,90.84864316400768
10,42092,835,90.87023164439455
10,42102,836,90.89182012478142
10,42112,837,90.91340860516827
10,42122,838,90.93499708555515
10,42132,839,90.95658556594202
10,42142,840,90.97817404632887
10,42152,841,90.99976252671574
10,42162,842,91.02135100710261
10,42172,843,91.04293948748948
10,42182,844,91.06452796787634
10,42192,845,91.08611644826321
10,42202,846,91.10770492865007
10,42212,847,91.12929340903693
10,42222,848,91.1508818894238
9,42231,849,91.17031152177198
9,42240,850,91.18974115412016
9,42249,851,91.20917078646833
9,42258,852,91.22860041881651
9,42267,853,91.24803005116469
9,42276,854,91.26745968351287
9,42285,855,91.28688931586105
9,42294,856,91.30631894820922
9,42303,857,91.32574858055742
9,42312,858,91.3451782129056
9,42321,859,91.36460784525377
9,42330,860,91.38403747760195
9,42339,861,91.40346710995013
9,42348,862,91.4228967422983
9,42357,863,91.44232637464648
9,42366,864,91.46175600699466
9,42375,865,91.48118563934284
9,42384,866,91.50061527169102
9,42393,867,91.5200449040392
9,42402,868,91.53947453638739
9,42411,869,91.55890416873557
9,42420,870,91.57833380108374
9,42429,871,91.59776343343192
9,42438,872,91.6171930657801
9,42447,873,91.63662269812828
9,42456,874,91.65605233047646
9,42465,875,91.67548196282463
9,42474,876,91.69491159517281
9,42483,877,91.71434122752099
9,42492,878,91.73377085986918
9,42501,879,91.75320049221736
9,42510,880,91.77263012456554
9,42519,881,91.79205975691372
9,42528,882,91.8114893892619
9,42537,883,91.83091902161007
9,42546,884,91.85034865395825
9,42555,885,91.86977828630643
9,42564,886,91.8892079186546
9,42573,887,91.90863755100278
9,42582,888,91.92806718335096
9,42591,889,91.94749681569915
9,42600,890,91.96692644804733
9,42609,891,91.98635608039551
9,42618,892,92.00578571274369
9,42627,893,92.02521534509187
9,42636,894,92.04464497744004
9,42645,895,92.06407460978822
9,42654,896,92.0835042421364
8,42662,897,92.10077502644589
8,42670,898,92.11804581075538
8,42678,899,92.13531659506488
8,42686,900,92.15258737937437
8,42694,901,92.16985816368386
8,42702,902,92.18712894799334
8,42710,903,92.20439973230285
8,42718,904,92.22167051661233
8,42726,905,92.23894130092182
8,42734,906,92.25621208523133
8,42742,907,92.27348286954081
8,42750,908,92.29075365385032
8,42758,909,92.30802443815979
8,42766,910,92.3252952224693
8,42774,911,92.34256600677878
8,42782,912,92.35983679108828
8,42790,913,92.37710757539776
8,42798,914,92.39437835970726
8,42806,915,92.41164914401675
8,42814,916,92.42891992832625
8,42822,917,92.44619071263574
8,42830,918,92.46346149694523
8,42838,919,92.48073228125472
8,42846,920,92.49800306556422
8,42854,921,92.51527384987371
8,42862,922,92.5325446341832
8,42870,923,92.54981541849268
8,42878,924,92.56708620280219
8,42886,925,92.58435698711168
8,42894,926,92.60162777142116
8,42902,927,92.61889855573067
8,42910,928,92.63616934004015
8,42918,929,92.65344012434966
8,42926,930,92.67071090865913
