Estação de origem,Estação de Destino,contagem_viagens,contagem_acumulada,rank,freq_acumulada
EQS 104/304,102 Sul,55,27492,201,59.35105027957081
Brasil 21,Shopping Pátio Brasil,55,27547,202,59.469786921698585
Brasília Shopping,W2/EQN305/306,55,27602,203,59.58852356382634
Ministério da Saude,Catedral Metropolitana,54,27656,204,59.70510135791541
CLN 204,ICC Sul,54,27710,205,59.82167915200449
102 Sul,SQS 305,54,27764,206,59.93825694609356
Memorial JK,Rodoviária 2,54,27818,207,60.05483474018264
CLN 204,Instituto de Artes,54,27872,208,60.17141253427172
SAS,Rodoviária,53,27925,209,60.2858314803221
102 Sul,EQS 204/205,53,27978,210,60.400250426372494
EQS 204/205,Banco Central,53,28031,211,60.51466937242288
STF,STF,53,28084,212,60.629088318473265
Ministério do Planejamento,Ministério do Planejamento,53,28137,213,60.74350726452366
CLN 204,Rodoviária,52,28189,214,60.85576736253535
W2/EQN305/306,CLN 204,52,28241,215,60.96802746054705
ICC Sul,CLN 204,52,28293,216,61.08028755855875
Instituto de Artes,CLN 403,51,28344,217,61.19038880853177
W2/EQN305/306,ICC Sul,51,28395,218,61.300490058504785
Rodoviária 3,Brasil 21,50,28445,219,61.40843246043911
Shopping Mall,Shopping Mall,50,28495,220,61.51637486237343
EQN 410/411,SQN 205,49,28544,221,61.62215841626908
Ministério do Planejamento,Ministério dos Transportes,49,28593,222,61.72794197016472
Brasil 21,Rodoviária,49,28642,223,61.833725524060355
Brasil 21,Galeria,49,28691,224,61.939509077956004
Biblioteca Central,CLN 406,49,28740,225,62.045292631851645
CLN 406,SQN 205,49,28789,226,62.151076185747286
Rodoviária 2,EQN 408/409,49,28838,227,62.25685973964292
ICC Sul,CLN 403,49,28887,228,62.36264329353857
W2/EQN305/306,Liberty Mall,49,28936,229,62.46842684743421
Rodoviária 2,CLN 403,49,28985,230,62.57421040132986
Instituto de Artes,CLN 204,48,29033,231,62.67783510718681
Galeria,EQS 104/304,48,29081,232,62.78145981304376
Rodoviária,EQN 408/409,48,29129,233,62.88508451890071
EQN 410/411,Centro Olímpico,48,29177,234,62.98870922475766
EQN 408/409,Rodoviária,48,29225,235,63.09233393061462
CLN 406,CLN 204,47,29272,236,63.19379978843289
EQN 104/105,CLN 204,47,29319,237,63.29526564625117
SRTVS,Banco Central,46,29365,238,63.394572656030746
Brasil 21,Rodoviária 2,46,29411,239,63.493879665810326
Brasil 21,Memorial JK,46,29457,240,63.593186675589905
Rodoviária,CLN 406,46,29503,241,63.69249368536949
W2/EQN305/306,PAT,46,29549,242,63.79180069514907
STF,TSE,45,29594,243,63.88894885688996
Rodoviária,TSE,45,29639,244,63.98609701863086
PAT,Rodoviária,45,29684,245,64.08324518037175
Centro Olímpico,EQN 410/411,45,29729,246,64.18039334211265
EQN 408/409,CLN 403,45,29774,247,64.27754150385354
Banco Central,TSE,44,29818,248,64.37253081755576
Shopping Mall,EQS 204/205,44,29862,249,64.46752013125796
Biblioteca Central,EQN 408/409,44,29906,250,64.56250944496017
EQS 204/205,102 Sul,44,29950,251,64.65749875866238
SRTVS,Rodoviária 2,44,29994,252,64.75248807236459
EQS 204/205,SAS,44,30038,253,64.8474773860668
Biblioteca Central,PAT,43,30081,254,64.94030785173031
Instituto de Artes,W2/EQN305/306,43,30124,255,65.03313831739383
Centro Olímpico,Rodoviária,43,30167,256,65.12596878305736
Rodoviária 3,Setor Hoteleiro Norte,43,30210,257,65.21879924872088
EQN 410/411,CLN 403,43,30253,258,65.3116297143844
INMETRO,CLN 204,43,30296,259,65.40446018004793
Praça Buriti,Praça Buriti,43,30339,260,65.49729064571144
Galeria,Shopping Pátio Brasil,43,30382,261,65.59012111137497
Centro de Convenções,Rodoviária 2,42,30424,262,65.6807927289998
Ministério do Planejamento,Rodoviária 3,41,30465,263,65.76930549858595
Ministério da Defesa,Ministério da Defesa,41,30506,264,65.85781826817211
Ministério da Defesa,Rodoviária 2,41,30547,265,65.94633103775826
CNMP - Conselho Nacional do Ministério Público,Catedral Metropolitana,41,30588,266,66.0348438073444
Rodoviária,CNMP - Conselho Nacional do Ministério Público,41,30629,267,66.12335657693055
Rodoviária 3,Rodoviária,41,30670,268,66.21186934651669
CLN 403,CLN 204,41,30711,269,66.30038211610285
Rodoviária,Rodoviária 2,41,30752,270,66.388894885689
EQS 104/304,SQS 305,41,30793,271,66.47740765527514
SQS 305,Galeria,41,30834,272,66.56592042486129
EQN 410/411,CLN 204,41,30875,273,66.65443319444744
102 Sul,Brasil 21,40,30915,274,66.7407871159949
Brasil 21,SQS 305,40,30955,275,66.82714103754238
Ministério da Cultura,STF,40,30995,276,66.91349495908983
EQS 202 / 203,TSE,40,31035,277,66.99984888063729
CLN 204,EQN 408/409,40,31075,278,67.08620280218476
EQN 410/411,Rodoviária,39,31114,279,67.17039787569354
EQN 104/105,PAT,39,31153,280,67.2545929492023
Centro de Convenções,Torre de TV,39,31192,281,67.33878802271109
SQS 305,EQS 204/205,39,31231,282,67.42298309621985
Banco Central,CNMP - Conselho Nacional do Ministério Público,39,31270,283,67.50717816972863
Rodoviária 3,W2/EQN305/306,39,31309,284,67.59137324323741
Shopping Mall,EQS 202 / 203,39,31348,285,67.67556831674618
Catedral Metropolitana,Rodoviária 3,38,31386,286,67.75760454221627
Rodoviária,PAT,38,31424,287,67.83964076768636
CLN 406,W2/EQN305/306,38,31462,288,67.92167699315645
Biblioteca Central,EQN 410/411,38,31500,289,68.00371321862654
102 Sul,Galeria,38,31538,290,68.08574944409663
Rodoviária 3,Torre de TV,38,31576,291,68.16778566956671
Galeria,EQS 204/205,38,31614,292,68.24982189503682
INMETRO,Instituto de Artes,38,31652,293,68.3318581205069
EQN 104/105,EQN 408/409,37,31689,294,68.4117354979383
Praça do Povo,Galeria,37,31726,295,68.4916128753697
Setor Hoteleiro Norte,Centro de Convenções,37,31763,296,68.5714902528011
Praça do Povo,Brasil 21,37,31800,297,68.65136763023251
Liberty Mall,EQN 104/105,37,31837,298,68.73124500766392
EQN 104/105,ICC Sul,37,31874,299,68.81112238509532
INMETRO,Liberty Mall,37,31911,300,68.89099976252672
CLN 406,Rodoviária,37,31948,301,68.97087713995812
SQN 205,EQN 408/409,37,31985,302,69.05075451738952
Rodoviária 3,Praça Buriti,37,32022,303,69.13063189482092
EQS 104/304,EQS 202 / 203,37,32059,304,69.21050927225232
TSE,Rodoviária,37,32096,305,69.29038664968374
Rodoviária 3,Rodoviária 2,36,32132,306,69.36810517907645
Ministério do Planejamento,Ministério da Cultura,36,32168,307,69.44582370846916
Rodoviária 3,EQN 104/105,36,32204,308,69.52354223786188
Torre de TV,Setor Hoteleiro Norte,36,32240,309,69.60126076725459
102 Sul,EQS 104/304,36,32276,310,69.67897929664731
ICC Sul,SQN 205,36,32312,311,69.75669782604002
Shopping Pátio Brasil,Brasília Shopping,36,32348,312,69.83441635543274
Brasília Shopping,Rodoviária 2,36,32384,313,69.91213488482546
SQN 205,EQN 104/105,36,32420,314,69.98985341421817
Praça Buriti,Shopping Pátio Brasil,36,32456,315,70.06757194361089
Rodoviária 3,CNMP - Conselho Nacional do Ministério Público,36,32492,316,70.14529047300361
Memorial JK,Rodoviária,35,32527,317,70.22085015435763
W2/EQN305/306,INMETRO,35,32562,318,70.29640983571166
Galeria,102 Sul,35,32597,319,70.3719695170657
Banco Central,Banco Central,35,32632,320,70.44752919841972
EQN 104/105,Rodoviária 2,35,32667,321,70.52308887977375
Rodoviária,CLN 204,35,32702,322,70.59864856112779
EQN 408/409,SQN 205,35,32737,323,70.67420824248181
Brasília Shopping,Liberty Mall,35,32772,324,70.74976792383583
TSE,EQS 202 / 203,35,32807,325,70.82532760518987
Banco Central,EQS 202 / 203,35,32842,326,70.9008872865439
CLN 403,Ministério da Saude,35,32877,327,70.97644696789793
EQS 202 / 203,Rodoviária 2,35,32912,328,71.05200664925196
EQN 104/105,Liberty Mall,35,32947,329,71.12756633060599
EQN 104/105,EQN 410/411,34,32981,330,71.20096716392133
Rodoviária 2,CLN 204,34,33015,331,71.27436799723668
Rodoviária 3,Brasília Shopping,34,33049,332,71.34776883055201
CLN 403,Rodoviária 2,34,33083,333,71.42116966386736
CLN 204,Rodoviária 2,34,33117,334,71.4945704971827
ICC Sul,Catedral Metropolitana,34,33151,335,71.56797133049805
Rodoviária 2,EQS 202 / 203,34,33185,336,71.64137216381339
Centro de Convenções,Setor Hoteleiro Norte,34,33219,337,71.71477299712873
Memorial JK,Brasil 21,34,33253,338,71.78817383044408
Ministério da Saude,TSE,33,33286,339,71.85941581572072
Rodoviária 3,Memorial JK,33,33319,340,71.9306578009974
Ministério dos Transportes,Rodoviária 2,33,33352,341,72.00189978627405
Memorial JK,Torre de TV,33,33385,342,72.0731417715507
Centro de Convenções,Rodoviária,33,33418,343,72.14438375682735
W2/EQN305/306,Brasília Shopping,33,33451,344,72.21562574210402
Torre de TV,Memorial JK,33,33484,345,72.28686772738067
Brasil 21,Centro de Convenções,33,33517,346,72.35810971265732
Rodoviária 2,W2/EQN305/306,32,33549,347,72.42719284989529
Galeria,Shopping Mall,32,33581,348,72.49627598713326
SQN 205,Centro Olímpico,32,33613,349,72.56535912437123
EQN 104/105,SQN 205,32,33645,350,72.6344422616092
W2/EQN305/306,Rodoviária,32,33677,351,72.70352539884718
Ministério da Cultura,Catedral Metropolitana,32,33709,352,72.77260853608514
EQN 104/105,CLN 403,32,33741,353,72.84169167332311
EQS 204/205,Shopping Mall,32,33773,354,72.91077481056108
EQN 104/105,W2/EQN305/306,32,33805,355,72.97985794779905
Rodoviária,EQN 104/105,32,33837,356,73.04894108503703
Rodoviária,EQN 410/411,32,33869,357,73.118024222275
Rodoviária,SAS,32,33901,358,73.18710735951296
Liberty Mall,Brasília Shopping,32,33933,359,73.25619049675095
SQS 305,EQS 104/304,31,33964,360,73.32311478595021
102 Sul,SRTVS,31,33995,361,73.3900390751495
Memorial JK,Setor Hoteleiro Norte,31,34026,362,73.45696336434878
