Estação de origem,Estação de Destino,contagem_viagens
Brasil 21,Torre de TV,60
Brasil 21,W2/EQN305/306,15
Brasília Shopping,102 Sul,4
Brasília Shopping,Banco Central,6
Brasília Shopping,Biblioteca Central,3
Brasília Shopping,Brasil 21,16
Brasília Shopping,Brasília Shopping,64
Brasília Shopping,CLN 204,15
Brasília Shopping,CLN 403,22
Brasília Shopping,CLN 406,11
Brasília Shopping,CNMP - Conselho Nacional do Ministério Público,2
Brasília Shopping,Catedral Metropolitana,13
Brasília Shopping,Centro Olímpico,4
Brasília Shopping,Centro de Convenções,6
Brasília Shopping,EQN 104/105,29
Brasília Shopping,EQN 408/409,5
Brasília Shopping,EQN 410/411,13
Brasília Shopping,EQS 104/304,2
Brasília Shopping,EQS 202 / 203,7
Brasília Shopping,EQS 204/205,15
Brasília Shopping,Galeria,20
Brasília Shopping,ICC Sul,7
Brasília Shopping,INMETRO,16
Brasília Shopping,Instituto de Artes,10
Brasília Shopping,Liberty Mall,35
Brasília Shopping,Memorial JK,4
Brasília Shopping,Ministério da Cultura,15
Brasília Shopping,Ministério da Saude,6
Brasília Shopping,Ministério do Planejamento,6
Brasília Shopping,Ministério dos Transportes,7
Brasília Shopping,PAT,8
Brasília Shopping,Praça Buriti,9
Brasília Shopping,Praça do Povo,17
Brasília Shopping,Rodoviária,62
Brasília Shopping,Rodoviária 2,36
Brasília Shopping,Rodoviária 3,106
Brasília Shopping,SQN 205,16
Brasília Shopping,SQS 305,13
Brasília Shopping,SRTVS,8
Brasília Shopping,STF,10
Brasília Shopping,Setor Hoteleiro Norte,10
Brasília Shopping,Shopping Mall,4
Brasília Shopping,Shopping Pátio Brasil,30
Brasília Shopping,TSE,8
Brasília Shopping,Torre de TV,7
Brasília Shopping,W2/EQN305/306,55
CLN 204,102 Sul,2
CLN 204,Banco Central,1
CLN 204,Biblioteca Central,9
CLN 204,Brasil 21,5
CLN 204,Brasília Shopping,5
CLN 204,CLN 204,147
CLN 204,CLN 403,66
CLN 204,CLN 406,86
CLN 204,Catedral Metropolitana,19
CLN 204,Centro Olímpico,12
CLN 204,Centro de Convenções,2
CLN 204,EQN 104/105,9
CLN 204,EQN 408/409,40
CLN 204,EQN 410/411,56
CLN 204,EQS 202 / 203,2
CLN 204,EQS 204/205,4
CLN 204,Galeria,2
CLN 204,ICC Sul,54
CLN 204,INMETRO,25
CLN 204,Instituto de Artes,54
CLN 204,Liberty Mall,3
CLN 204,Memorial JK,1
CLN 204,Ministério da Cultura,2
CLN 204,Ministério da Defesa,13
CLN 204,Ministério do Planejamento,9
CLN 204,Ministério dos Transportes,2
CLN 204,PAT,25
CLN 204,Praça Buriti,1
CLN 204,Praça do Povo,1
CLN 204,Rodoviária,52
CLN 204,Rodoviária 2,34
CLN 204,Rodoviária 3,6
CLN 204,SQN 205,92
CLN 204,SQS 305,3
CLN 204,STF,1
CLN 204,Setor Hoteleiro Norte,1
CLN 204,Shopping Mall,3
CLN 204,Shopping Pátio Brasil,2
CLN 204,Torre de TV,5
CLN 204,W2/EQN305/306,23
CLN 403,102 Sul,1
CLN 403,Banco Central,3
CLN 403,Biblioteca Central,21
CLN 403,Brasil 21,4
